_id,index,Team Name,R_Stats,H_Stats,HR_Stats,RBI_Stats,SB_Stats,OPS_Stats,HRA_Stats,ERA_Stats,WHIP_Stats,K9_Stats,QS_Stats,SVH_Stats,R_Rank_Stats,H_Rank_Stats,HR_Rank_Stats,RBI_Rank_Stats,SB_Rank_Stats,OPS_Rank_Stats,HRA_Rank_Stats,ERA_Rank_Stats,WHIP_Rank_Stats,K9_Rank_Stats,QS_Rank_Stats,SVH_Rank_Stats,R_Record,H_Record,HR_Record,SB_Record,OPS_Record,RBI_Record,HRA_Record,ERA_Record,WHIP_Record,K9_Record,QS_Record,SVH_Record,Rank,GB,Moves,R_Rank_Record,H_Rank_Record,HR_Rank_Record,SB_Rank_Record,OPS_Rank_Record,RBI_Rank_Record,HRA_Rank_Record,ERA_Rank_Record,WHIP_Rank_Record,K9_Rank_Record,QS_Rank_Record,SVH_Rank_Record,Stats_Power_Score,Stats_Power_Rank,Variation,batter_rank,pitcher_rank,Team_Number,Player_Name
646b4c74c36005a8911f4ee9,0,#Justice4GallenBird,235,393,65,217,27,0.744,32,3.49,1.17,10.73,19,27,7.0,10.0,6.0,6.0,11.0,11.0,3.0,5.0,5.0,1.0,9.0,10.0,"[3, 0, 4]","[2, 0, 5]","[2, 2, 3]","[2, 3, 2]","[2, 0, 5]","[2, 0, 5]","[4, 1, 2]","[3, 0, 4]","[5, 0, 2]","[4, 0, 3]","[3, 0, 4]","[2, 0, 5]",10,22.5,18,7.5,9.0,8.5,9.0,9.5,10.0,3.0,7.5,2.5,5.0,8.0,11.0,7.0,7.0,-3.0,8.5,5.5,1,Taylor
646b4c74c36005a8911f4eea,1,Moniebol 🐳 (BUY $ASO),263,451,84,292,28,0.799,26,2.87,1.1,10.04,24,28,2.0,2.0,2.0,1.0,10.0,3.0,1.0,1.0,3.0,6.0,3.5,9.0,"[4, 0, 3]","[4, 0, 3]","[4, 1, 2]","[3, 1, 3]","[4, 0, 3]","[3, 1, 3]","[4, 0, 3]","[6, 0, 1]","[5, 0, 2]","[6, 0, 1]","[3, 2, 2]","[2, 1, 4]",2,8.5,42,5.0,6.5,3.5,5.5,7.0,7.0,6.0,1.5,2.5,1.5,4.5,9.0,3.625,1.0,-1.0,3.3333333333333335,3.9166666666666665,2,Austin
646b4c74c36005a8911f4eeb,2,Vinnie Pepperonis,243,415,72,234,29,0.778,57,4.34,1.35,10.06,13,48,5.0,7.0,3.0,4.0,9.0,5.0,12.0,12.0,11.5,4.5,12.0,5.0,"[4, 0, 3]","[5, 0, 2]","[5, 1, 1]","[1, 0, 6]","[5, 0, 2]","[6, 0, 1]","[2, 0, 5]","[2, 0, 5]","[2, 0, 5]","[2, 0, 5]","[1, 2, 4]","[2, 1, 4]",8,20.5,24,5.0,2.5,2.0,12.0,3.5,1.5,11.5,10.5,10.5,10.0,11.0,9.0,7.5,9.0,1.0,5.5,9.5,3,Kurtis
646b4c74c36005a8911f4eec,3,…beep…..beep…….beep,218,406,66,211,38,0.767,35,3.8,1.19,9.3,23,50,10.5,8.0,4.5,8.0,6.0,8.0,6.0,8.0,6.5,9.0,6.0,4.0,"[1, 0, 6]","[1, 1, 5]","[2, 2, 3]","[3, 1, 3]","[0, 0, 7]","[1, 0, 6]","[4, 0, 3]","[2, 0, 5]","[2, 0, 5]","[3, 0, 4]","[3, 1, 3]","[2, 3, 2]",12,31.5,22,12.0,10.5,8.5,5.5,11.5,12.0,6.0,10.5,10.5,7.0,6.5,6.0,7.041666666666667,8.0,-4.0,7.5,6.583333333333333,4,Bryant
646b4c74c36005a8911f4eed,4,[ABN] Rain,276,425,86,256,40,0.848,47,4.05,1.23,9.03,27,21,1.0,4.0,1.0,2.0,5.0,2.0,11.0,11.0,8.0,10.0,1.0,12.0,"[7, 0, 0]","[4, 0, 3]","[6, 0, 1]","[3, 0, 4]","[6, 0, 1]","[6, 0, 1]","[2, 1, 4]","[2, 0, 5]","[2, 0, 5]","[2, 0, 5]","[4, 1, 2]","[2, 1, 4]",3,12,9,1.0,6.5,1.0,8.0,1.0,1.5,9.0,10.5,10.5,10.0,2.5,9.0,5.666666666666667,3.0,0.0,2.5,8.833333333333334,5,Greg
646b4c74c36005a8911f4eee,5,The Slobberknockers,221,386,51,201,51,0.694,39,2.96,1.12,10.41,24,41,8.0,11.0,12.0,11.0,2.0,12.0,8.0,2.0,4.0,3.0,3.5,6.0,"[1, 1, 5]","[1, 0, 6]","[1, 0, 6]","[5, 1, 1]","[0, 0, 7]","[2, 0, 5]","[2, 1, 4]","[4, 0, 3]","[4, 0, 3]","[6, 0, 1]","[3, 1, 3]","[4, 1, 2]",11,24,68,10.5,12.0,12.0,1.5,11.5,10.0,9.0,4.5,5.0,1.5,6.5,4.0,6.875,6.0,-5.0,9.333333333333334,4.416666666666667,6,Josh
646b4c74c36005a8911f4eef,6,Ian Cumsler,254,474,64,244,60,0.85,35,3.78,1.35,8.88,16,26,4.0,1.0,7.0,3.0,1.0,1.0,6.0,7.0,11.5,12.0,11.0,11.0,"[3, 0, 4]","[5, 0, 2]","[3, 1, 3]","[3, 1, 3]","[5, 0, 2]","[4, 0, 3]","[4, 0, 3]","[4, 0, 3]","[3, 0, 4]","[2, 0, 5]","[2, 1, 4]","[1, 1, 5]",6,18.5,14,7.5,2.5,5.5,5.5,3.5,5.0,6.0,4.5,7.5,10.0,10.0,12.0,6.291666666666667,4.0,-2.0,2.8333333333333335,9.75,7,Eric
646b4c74c36005a8911f4ef0,7,Movin’ On Up,219,377,61,198,30,0.761,30,3.38,1.08,10.67,21,55,9.0,12.0,8.0,12.0,8.0,9.0,2.0,4.0,1.0,2.0,7.5,2.0,"[2, 0, 5]","[1, 1, 5]","[2, 0, 5]","[3, 1, 3]","[2, 0, 5]","[2, 0, 5]","[5, 0, 2]","[4, 0, 3]","[6, 0, 1]","[5, 0, 2]","[2, 3, 2]","[5, 0, 2]",5,18,13,9.0,10.5,11.0,5.5,9.5,10.0,1.0,4.5,1.0,3.5,9.0,3.0,6.375,5.0,0.0,9.666666666666666,3.0833333333333335,8,David
646b4c74c36005a8911f4ef1,8,Camp Lejeune,211,417,56,204,14,0.774,34,3.82,1.3,9.4,17,61,12.0,6.0,9.0,10.0,12.0,6.0,4.0,9.5,10.0,8.0,10.0,1.0,"[4, 0, 3]","[4, 0, 3]","[3, 0, 4]","[2, 0, 5]","[4, 0, 3]","[4, 0, 3]","[2, 1, 4]","[3, 0, 4]","[2, 0, 5]","[3, 0, 4]","[1, 1, 5]","[5, 1, 1]",9,21,32,5.0,6.5,7.0,11.0,7.0,5.0,9.0,7.5,10.5,7.0,12.0,2.0,8.125,12.0,3.0,9.166666666666666,7.083333333333333,9,Jamie
646b4c74c36005a8911f4ef2,9,The Rosterbation Station,261,431,66,219,48,0.795,41,2.99,1.09,10.06,24,53,3.0,3.0,4.5,5.0,3.0,4.0,9.0,3.0,2.0,4.5,3.5,3.0,"[5, 0, 2]","[5, 0, 2]","[4, 1, 2]","[5, 1, 1]","[5, 0, 2]","[5, 0, 2]","[4, 1, 2]","[6, 0, 1]","[4, 0, 3]","[5, 0, 2]","[3, 2, 2]","[6, 0, 1]",1,-,33,3.0,2.5,3.5,1.5,3.5,3.0,3.0,1.5,5.0,3.5,4.5,1.0,3.9583333333333335,2.0,1.0,3.75,4.166666666666667,10,Kevin
646b4c74c36005a8911f4ef3,10,scoopski potatoes,242,400,55,216,42,0.749,44,3.82,1.19,8.99,24,39,6.0,9.0,10.0,7.0,4.0,10.0,10.0,9.5,6.5,11.0,3.5,7.0,"[6, 0, 1]","[5, 0, 2]","[2, 1, 4]","[4, 1, 2]","[4, 0, 3]","[4, 0, 3]","[2, 0, 5]","[2, 0, 5]","[4, 0, 3]","[3, 0, 4]","[5, 1, 1]","[3, 1, 3]",4,13.5,39,2.0,2.5,10.0,3.0,7.0,5.0,11.5,10.5,5.0,7.0,1.0,5.0,7.791666666666667,11.0,7.0,7.666666666666667,7.916666666666667,11,Mikey
646b4c74c36005a8911f4ef4,11,¯\_(ツ)_/¯,218,420,53,206,33,0.768,35,3.69,1.24,9.54,21,35,10.5,5.0,11.0,9.0,7.0,7.0,6.0,6.0,9.0,7.0,7.5,8.0,"[1, 1, 5]","[4, 0, 3]","[3, 1, 3]","[2, 2, 3]","[5, 0, 2]","[2, 1, 4]","[4, 1, 2]","[4, 0, 3]","[3, 0, 4]","[1, 0, 6]","[4, 1, 2]","[2, 2, 3]",7,20,44,10.5,6.5,5.5,10.0,3.5,8.0,3.0,4.5,7.5,12.0,2.5,7.0,7.75,10.0,3.0,8.25,7.25,12,Cooch
